id,name
1,brace
2,ledgerLine
3,repeatDot
4,segno
5,coda
6,clefG
7,clefCAlto
8,clefCTenor
9,clefF
10,clefUnpitchedPercussion
11,clef8
12,clef15
13,timeSig0
14,timeSig1
15,timeSig2
16,timeSig3
17,timeSig4
18,timeSig5
19,timeSig6
20,timeSig7
21,timeSig8
22,timeSig9
23,timeSigCommon
24,timeSigCutCommon
25,noteheadBlackOnLine
26,noteheadBlackOnLineSmall
27,noteheadBlackInSpace
28,noteheadBlackInSpaceSmall
29,noteheadHalfOnLine
30,noteheadHalfOnLineSmall
31,noteheadHalfInSpace
32,noteheadHalfInSpaceSmall
33,noteheadWholeOnLine
34,noteheadWholeOnLineSmall
35,noteheadWholeInSpace
36,noteheadWholeInSpaceSmall
37,noteheadDoubleWholeOnLine
38,noteheadDoubleWholeOnLineSmall
39,noteheadDoubleWholeInSpace
40,noteheadDoubleWholeInSpaceSmall
41,augmentationDot
42,stem
43,tremolo1
44,tremolo2
45,tremolo3
46,tremolo4
47,tremolo5
48,flag8thUp
49,flag8thUpSmall
50,flag16thUp
51,flag32ndUp
52,flag64thUp
53,flag128thUp
54,flag8thDown
55,flag8thDownSmall
56,flag16thDown
57,flag32ndDown
58,flag64thDown
59,flag128thDown
60,accidentalFlat
61,accidentalFlatSmall
62,accidentalNatural
63,accidentalNaturalSmall
64,accidentalSharp
65,accidentalSharpSmall
66,accidentalDoubleSharp
67,accidentalDoubleFlat
68,keyFlat
69,keyNatural
70,keySharp
71,articAccentAbove
72,articAccentBelow
73,articStaccatoAbove
74,articStaccatoBelow
75,articTenutoAbove
76,articTenutoBelow
77,articStaccatissimoAbove
78,articStaccatissimoBelow
79,articMarcatoAbove
80,articMarcatoBelow
81,fermataAbove
82,fermataBelow
83,caesura
84,restDoubleWhole
85,restWhole
86,restHalf
87,restQuarter
88,rest8th
89,rest16th
90,rest32nd
91,rest64th
92,rest128th
93,restHNr
94,dynamicP
95,dynamicM
96,dynamicF
97,dynamicS
98,dynamicZ
99,dynamicR
100,graceNoteAcciaccaturaStemUp
101,graceNoteAppoggiaturaStemUp
102,graceNoteAcciaccaturaStemDown
103,graceNoteAppoggiaturaStemDown
104,ornamentTrill
105,ornamentTurn
106,ornamentTurnInverted
107,ornamentMordent
108,stringsDownBow
109,stringsUpBow
110,arpeggiato
111,keyboardPedalPed
112,keyboardPedalUp
113,tuplet3
114,tuplet6
115,fingering0
116,fingering1
117,fingering2
118,fingering3
119,fingering4
120,fingering5
121,slur
122,beam
123,tie
124,restHBar
125,dynamicCrescendoHairpin
126,dynamicDiminuendoHairpin
127,tuplet1
128,tuplet2
129,tuplet4
130,tuplet5
131,tuplet7
132,tuplet8
133,tuplet9
134,tupletBracket
135,staff
136,ottavaBracket
137,brace
138,legerLine
139,repeatDot
140,segno
141,coda
142,clefG
143,clefC
144,clefF
145,numeral8
146,numeral0
147,numeral1
148,numeral2
149,numeral3
150,numeral4
151,numeral5
152,numeral6
153,numeral7
154,numeral9
155,timeSigCommon
156,timeSigCutCommon
157,noteheadFullSmall
158,noteheadHalfSmall
159,noteheadWhole
160,augmentationDot
161,stem
162,tremoloMark
163,flag8thUp
164,flag16thUp
165,flag32ndUp
166,flag64thUp
167,flag8thDown
168,flag16thDown
169,flag32ndDown
170,flag64thDown
171,accidentalFlat
172,accidentalNatural
173,accidentalSharp
174,accidentalDoubleSharp
175,accidentalDoubleFlat
176,articulationAccent
177,articulationStaccato
178,articulationTenuto
179,articulationMarcatoAbove
180,articulationMarcatoBelow
181,fermataAbove
182,fermataBelow
183,restWhole
184,restHalf
185,restQuarter
186,rest8th
187,rest16th
188,rest32nd
189,rest64th
190,numeral
191,dynamicLetterP
192,dynamicLetterM
193,dynamicLetterF
194,dynamicLetterS
195,dynamicLetterZ
196,dynamicLetterR
197,graceNoteAcciaccatura
198,ornamentTrill
199,arpeggio
200,slur
201,beam
202,tie
203,restHBar
204,dynamicCrescendoHairpin
205,dynamicDiminuendoHairpin
206,tuple
207,tupleBracket
208,staff
209,tmn_1_bemol
210,tmn_1_diyez
211,tmn_4_bemol
212,tmn_5_diyez
213,tmn_8_bemol
214,tmn_8_diyez
215,tmn_9_bemol
216,tmn_9_diyez
